,Name,Geography Type,Year,Resident Population,Overseas population included,Population used for apportionment,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
599,New Hampshire,State,2010,1316470,4975,1321445,6.5,147,23.0,2.0,0.0,"660,723"
600,New Jersey,State,2010,8791894,15607,8807501,4.5,"1,195.50",2.0,12.0,-1.0,"733,958"
601,New Mexico,State,2010,2059179,8094,2067273,13.2,17,47.0,3.0,0.0,"689,091"
602,New York,State,2010,19378102,42953,19421055,2.1,411.2,9.0,27.0,-2.0,"719,298"
603,North Carolina,State,2010,9535483,30298,9565781,18.5,196.1,17.0,13.0,0.0,"735,829"
604,North Dakota,State,2010,672591,3314,675905,4.7,9.7,49.0,1.0,0.0,"675,905"
605,Ohio,State,2010,11536504,31991,11568495,1.6,282.3,12.0,16.0,-2.0,"723,031"
606,Oklahoma,State,2010,3751351,13531,3764882,8.7,54.7,37.0,5.0,0.0,"752,976"
607,Oregon,State,2010,3831074,17532,3848606,12.0,39.9,41.0,5.0,0.0,"769,721"
608,Pennsylvania,State,2010,12702379,32526,12734905,3.4,283.9,11.0,18.0,-1.0,"707,495"
610,Rhode Island,State,2010,1052567,2680,1055247,0.4,"1,018.10",4.0,2.0,0.0,"527,624"
611,South Carolina,State,2010,4625364,20611,4645975,15.3,153.9,22.0,7.0,1.0,"663,711"
612,South Dakota,State,2010,814180,5581,819761,7.9,10.7,48.0,1.0,0.0,"819,761"
613,Tennessee,State,2010,6346105,29326,6375431,11.5,153.9,21.0,9.0,0.0,"708,381"
614,Texas,State,2010,25145561,122857,25268418,20.6,96.3,28.0,36.0,4.0,"701,901"
615,Utah,State,2010,2763885,6880,2770765,23.8,33.6,43.0,4.0,1.0,"692,691"
616,Vermont,State,2010,625741,4596,630337,2.8,67.9,32.0,1.0,0.0,"630,337"
617,Virginia,State,2010,8001024,36712,8037736,13.0,202.6,16.0,11.0,0.0,"730,703"
618,Washington,State,2010,6724540,28829,6753369,14.1,101.2,27.0,10.0,1.0,"675,337"
619,West Virginia,State,2010,1852994,6821,1859815,2.5,77.1,31.0,3.0,0.0,"619,938"
620,Wisconsin,State,2010,5686986,11244,5698230,6.0,105,25.0,8.0,0.0,"712,279"
621,Wyoming,State,2010,563626,4674,568300,14.1,5.8,51.0,1.0,0.0,"568,300"
627,Alabama,State,2020,5024279,5774,5030053,5.1,99.2,29.0,7.0,0.0,"718,579"
628,Alaska,State,2020,733391,2690,736081,3.3,1.3,52.0,1.0,0.0,"736,081"
629,Arizona,State,2020,7151502,7421,7158923,11.9,62.9,35.0,9.0,0.0,"795,436"
630,Arkansas,State,2020,3011524,2232,3013756,3.3,57.9,36.0,4.0,0.0,"753,439"
631,California,State,2020,39538223,38534,39576757,6.1,253.7,13.0,52.0,-1.0,"761,091"
632,Colorado,State,2020,5773714,8457,5782171,14.8,55.7,39.0,8.0,1.0,"722,771"
633,Connecticut,State,2020,3605944,2354,3608298,0.9,744.7,6.0,5.0,0.0,"721,660"
634,Delaware,State,2020,989948,889,990837,10.2,508,8.0,1.0,0.0,"990,837"
635,District of Columbia,State,2020,689545,0,689545,14.6,"11,280.00",1.0,,,
636,Florida,State,2020,21538187,32340,21570527,14.6,401.4,10.0,28.0,1.0,"770,376"
637,Georgia,State,2020,10711908,13366,10725274,10.6,185.6,19.0,14.0,0.0,"766,091"
638,Hawaii,State,2020,1455271,4866,1460137,7.0,226.6,15.0,2.0,0.0,"730,069"
639,Idaho,State,2020,1839106,2271,1841377,17.3,22.3,46.0,2.0,0.0,"920,689"
640,Illinois,State,2020,12812508,10231,12822739,-0.1,230.8,14.0,17.0,-1.0,"754,279"
641,Indiana,State,2020,6785528,4752,6790280,4.7,189.4,18.0,9.0,0.0,"754,476"
642,Iowa,State,2020,3190369,2037,3192406,4.7,57.1,38.0,4.0,0.0,"798,102"
643,Kansas,State,2020,2937880,2985,2940865,3.0,35.9,43.0,4.0,0.0,"735,216"
644,Kentucky,State,2020,4505836,3506,4509342,3.8,114.1,25.0,6.0,0.0,"751,557"
645,Louisiana,State,2020,4657757,3711,4661468,2.7,107.8,28.0,6.0,0.0,"776,911"
646,Maine,State,2020,1362359,1223,1363582,2.6,44.2,40.0,2.0,0.0,"681,791"
647,Maryland,State,2020,6177224,8054,6185278,7.0,636.1,7.0,8.0,0.0,"773,160"
648,Massachusetts,State,2020,7029917,3552,7033469,7.4,901.2,5.0,9.0,0.0,"781,497"
649,Michigan,State,2020,10077331,7111,10084442,2.0,178,20.0,13.0,-1.0,"775,726"
650,Minnesota,State,2020,5706494,3258,5709752,7.6,71.7,32.0,8.0,0.0,"713,719"
651,Mississippi,State,2020,2961279,2635,2963914,-0.2,63.1,34.0,4.0,0.0,"740,979"
652,Missouri,State,2020,6154913,5368,6160281,2.8,89.5,30.0,8.0,0.0,"770,035"
653,Montana,State,2020,1084225,1182,1085407,9.6,7.4,50.0,2.0,1.0,"542,704"
654,Nebraska,State,2020,1961504,1829,1963333,7.4,25.5,45.0,3.0,0.0,"654,444"
655,Nevada,State,2020,3104614,3848,3108462,15.0,28.3,44.0,4.0,0.0,"777,116"
656,New Hampshire,State,2020,1377529,1560,1379089,4.6,153.8,23.0,2.0,0.0,"689,545"
657,New Jersey,State,2020,9288994,5499,9294493,5.7,"1,263.00",2.0,12.0,0.0,"774,541"
658,New Mexico,State,2020,2117522,2698,2120220,2.8,17.5,47.0,3.0,0.0,"706,740"
659,New York,State,2020,20201249,14502,20215751,4.2,428.7,9.0,26.0,-1.0,"777,529"
660,North Carolina,State,2020,10439388,14560,10453948,9.5,214.7,17.0,14.0,1.0,"746,711"
661,North Dakota,State,2020,779094,608,779702,15.8,11.3,49.0,1.0,0.0,"779,702"
662,Ohio,State,2020,11799448,9400,11808848,2.3,288.8,12.0,15.0,-1.0,"787,257"
663,Oklahoma,State,2020,3959353,4163,3963516,5.5,57.7,37.0,5.0,0.0,"792,703"
664,Oregon,State,2020,4237256,4244,4241500,10.6,44.1,41.0,6.0,1.0,"706,917"
665,Pennsylvania,State,2020,13002700,9144,13011844,2.4,290.6,11.0,17.0,-1.0,"765,403"
667,Rhode Island,State,2020,1097379,784,1098163,4.3,"1,061.40",3.0,2.0,0.0,"549,082"
668,South Carolina,State,2020,5118425,6287,5124712,10.7,170.2,21.0,7.0,0.0,"732,102"
669,South Dakota,State,2020,886667,1103,887770,8.9,11.7,48.0,1.0,0.0,"887,770"
670,Tennessee,State,2020,6910840,6057,6916897,8.9,167.6,22.0,9.0,0.0,"768,544"
671,Texas,State,2020,29145505,37785,29183290,15.9,111.6,26.0,38.0,2.0,"767,981"
672,Utah,State,2020,3271616,3636,3275252,18.4,39.7,42.0,4.0,0.0,"818,813"
673,Vermont,State,2020,643077,426,643503,2.8,69.8,33.0,1.0,0.0,"643,503"
674,Virginia,State,2020,8631393,23149,8654542,7.9,218.6,16.0,11.0,0.0,"786,777"
675,Washington,State,2020,7705281,10665,7715946,14.6,115.9,24.0,10.0,0.0,"771,595"
676,West Virginia,State,2020,1793716,1329,1795045,-3.2,74.6,31.0,2.0,-1.0,"897,523"
677,Wisconsin,State,2020,5893718,3755,5897473,3.6,108.8,27.0,8.0,0.0,"737,184"
678,Wyoming,State,2020,576851,868,577719,2.3,5.9,51.0,1.0,0.0,"577,719"
